"","CountYear","Accipiter sp.","African Collared-Dove","American Black Duck x Mallard (hybrid)","American Coot","American Crow","American Dipper","American Goldfinch","American Kestrel","American Pipit","American Robin","American Three-toed Woodpecker","American Tree Sparrow","American Wigeon","Aythya sp.","Baird's Sparrow","Bald Eagle","Barn Owl","Barn Owl (American)","Barrow's Goldeneye","Belted Kingfisher","Black-and-white Warbler","Black-billed Magpie","Black-capped Chickadee","Black-crowned Night-Heron","Black Rosy-Finch","blackbird sp.","Blue-winged Teal","Blue Jay","Bohemian Waxwing","Bohemian/Cedar Waxwing","Bonaparte's Gull","Boreal Owl","Brant","Brant (Black)","Brewer's Blackbird","Brown-capped Rosy-Finch","Brown-headed Cowbird","Brown Creeper","Brown Thrasher","Bufflehead","Bushtit","Buteo sp.","Cackling Goose","Cackling/Canada Goose","California Gull","California Quail","Canada Goose","Canvasback","Canyon Wren","Cassin's Finch","Cedar Waxwing","chickadee sp.","Chukar","Cinnamon Teal","Clark's Nutcracker","Common Goldeneye","Common Grackle","Common Grackle (Purple)","Common Loon","Common Merganser","Common Raven","Common Redpoll","Common Yellowthroat","Common/Barrow's Goldeneye","Cooper's Hawk","crow sp.","Dark-eyed Junco","Dark-eyed Junco (cismontanus)","Dark-eyed Junco (Gray-headed)","Dark-eyed Junco (Oregon)","Dark-eyed Junco (Pink-sided)","Dark-eyed Junco (Slate-colored)","Dark-eyed Junco (Slate-colored/Cassiar)","Dark-eyed Junco (White-winged)","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)","Double-crested Cormorant","Downy Woodpecker","duck sp.","Dusky/Sooty Grouse","eagle sp.","Eastern Bluebird","Eastern Screech-Owl","Eurasian Collared-Dove","Eurasian Wigeon","European Starling","Evening Grosbeak","falcon sp.","Ferruginous Hawk","Field Sparrow","Fox Sparrow","Gadwall","Golden-crowned Kinglet","Golden-crowned Sparrow","Golden Eagle","Gray-crowned Rosy-Finch","Gray Catbird","Gray Jay","Gray Partridge","Great-tailed Grackle","Great Blue Heron (Blue form)","Great Horned Owl","Greater Sage-Grouse","Greater Scaup","Greater White-fronted Goose","Greater White-fronted x Canada Goose (hybrid)","Greater/Lesser Scaup","Green-tailed Towhee","Green-winged Teal","Green-winged Teal (American)","gull sp.","Hairy Woodpecker","Harris's Hawk","Harris's Sparrow","Hermit Thrush","Herring Gull","Hooded Merganser","Horned Grebe","Horned Lark","House Finch","House Sparrow","House Wren","jay sp.","Killdeer","Lapland Longspur","Lazuli Bunting","Lesser Black-backed Gull","Lesser Goldfinch","Lesser Scaup","Lewis's Woodpecker","Lincoln's Sparrow","Loggerhead Shrike","Long-eared Owl","Long-tailed Duck","Mallard","Marsh Wren","Merlin","Mew Gull","Mountain Bluebird","Mountain Chickadee","Mourning Dove","Northern Bobwhite","Northern Flicker","Northern Flicker (intergrade)","Northern Flicker (Red-shafted)","Northern Flicker (Yellow-shafted)","Northern Goshawk","Northern Goshawk (American)","Northern Harrier","Northern Mockingbird","Northern Pintail","Northern Pygmy-Owl","Northern Saw-whet Owl","Northern Shoveler","Northern Shrike","Northern Waterthrush","Pacific/Winter Wren","Palm Warbler (Western)","Peregrine Falcon","Pied-billed Grebe","Pine Grosbeak","Pine Siskin","Pine Warbler","Pinyon Jay","Prairie Falcon","Purple Finch","Pygmy Nuthatch","Red-bellied Woodpecker","Red-breasted Merganser","Red-breasted Nuthatch","Red-headed Woodpecker","Red-lored Parrot","Red-naped Sapsucker","Red-necked Grebe","Red-tailed Hawk","Red-tailed Hawk (Harlan's)","Red-winged Blackbird","Red Crossbill","Redhead","Ring-billed Gull","Ring-necked Duck","Ring-necked Pheasant","Rock Pigeon (Feral Pigeon)","Rock Wren","Rose-breasted Grosbeak","Ross's Goose","rosy-finch sp.","Rough-legged Hawk","Ruby-crowned Kinglet","Ruddy Duck","Rusty Blackbird","Sage Thrasher","Sandhill Crane","sapsucker sp.","Savannah Sparrow","Scaled Quail","Scarlet Tanager","screech-owl sp.","Sharp-shinned Hawk","Short-eared Owl","shrike sp.","Snow Bunting","Snow Goose","Snow x Canada Goose (hybrid)","Song Sparrow","Song Sparrow (montana/merrilli)","Sora","sparrow sp.","Spotted Sandpiper","Spotted Towhee","Spotted/Eastern Towhee (Rufous-sided Towhee)","Steller's Jay","Swainson's Hawk","Swamp Sparrow","teal sp.","Thayer's Gull","Townsend's Solitaire","Trumpeter Swan","Tundra Swan","Turkey Vulture","Varied Thrush","Vesper Sparrow","Virginia Rail","Western Bluebird","Western Grebe","Western Meadowlark","Western Scrub-Jay","Western Scrub-Jay (Woodhouse's)","White-breasted Nuthatch","White-breasted Nuthatch (Interior West)","White-crowned Sparrow","White-crowned Sparrow (Gambel's)","White-throated Sparrow","White-winged Crossbill","White-winged Dove","White-winged Scoter","Wild Turkey","Wilson's Snipe","Wilson's/Common Snipe","Winter Wren","Wood Duck","wren sp.","Yellow-bellied Sapsucker","Yellow-headed Blackbird","Yellow-rumped Warbler","Yellow-rumped Warbler (Audubon's)","Yellow-rumped Warbler (Myrtle)","Yellow-throated Warbler"
"1",1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,NA,NA,"3",NA,"26","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"314",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"100",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1927,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,"4","126","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,"1",NA,NA,"2",NA,NA,NA,NA,"10",NA,NA,NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"155",NA,NA,"1",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,"1",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,"115",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1947,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,"4","30",NA,NA,NA,NA,NA,NA,"1",NA,"39","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cw",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,"1","6","37","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8892",NA,NA,NA,NA,"2",NA,NA,NA,NA,"13",NA,NA,NA,"1",NA,"96",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"347",NA,NA,"1",NA,"3",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1948,NA,NA,NA,NA,"4","10",NA,"cw",NA,"17",NA,"66","25",NA,NA,"2",NA,NA,NA,"1",NA,"132","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","51",NA,"6",NA,"8",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"483",NA,NA,NA,NA,NA,NA,"1",NA,"3",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"14",NA,NA,"2",NA,NA,NA,NA,NA,NA,"5","54","234",NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,"2255",NA,"1",NA,NA,"10",NA,NA,NA,NA,"75",NA,NA,NA,"5",NA,"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"96","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1949,NA,NA,NA,NA,"192","4",NA,"1",NA,NA,NA,"48",NA,NA,NA,"2",NA,NA,NA,"1",NA,"202","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cw",NA,NA,NA,NA,NA,NA,NA,NA,"2","11","32","6",NA,"1",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"243",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"9",NA,NA,"2",NA,NA,NA,NA,NA,NA,"7","15","554",NA,NA,"7",NA,NA,NA,"cw",NA,"2",NA,NA,NA,NA,"2530",NA,"1",NA,NA,"4",NA,NA,NA,NA,"54",NA,NA,"1","5",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1548",NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1950,NA,NA,NA,NA,"4","1",NA,"1",NA,"10",NA,"62",NA,NA,NA,NA,NA,NA,NA,"1",NA,"89","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,"21",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,"11","60",NA,"5",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"42","7",NA,"1",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",NA,NA,"2",NA,NA,NA,NA,NA,NA,"30","67","68",NA,"3","5",NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,"1155",NA,"1",NA,NA,"8",NA,NA,NA,NA,"29",NA,NA,NA,"7",NA,"30",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"100",NA,NA,"2",NA,"11",NA,NA,"2",NA,NA,NA,NA,"1",NA,"75",NA,NA,"5",NA,"61",NA,"3",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,"2",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1951,NA,NA,NA,NA,NA,"3",NA,"1",NA,"5",NA,"94","5",NA,NA,"1",NA,NA,NA,"1",NA,"121","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46",NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"463",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","63","93",NA,"1","1",NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,"1933",NA,NA,NA,NA,"3",NA,NA,NA,NA,"32",NA,NA,NA,"2",NA,"2",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,"12",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1952,NA,NA,NA,NA,"353","12","16","2",NA,"8",NA,"562",NA,NA,NA,"3",NA,NA,NA,"4",NA,"144","47",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","130",NA,"10",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"84",NA,NA,"1",NA,NA,NA,"9",NA,"2",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"2",NA,NA,NA,NA,NA,NA,"78","86","182",NA,NA,"9",NA,NA,NA,NA,NA,"4",NA,"1",NA,NA,"7321",NA,NA,NA,NA,"6",NA,NA,NA,NA,"30",NA,NA,NA,"9",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,"2",NA,"7",NA,NA,"1",NA,"13",NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"1",NA,NA,NA,NA,NA
"9",1953,NA,NA,NA,NA,NA,"9","83","3",NA,NA,NA,"619",NA,NA,NA,NA,NA,NA,NA,"4",NA,"102","61","1",NA,NA,NA,"cw",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","51","16",NA,NA,NA,NA,"8",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"2","206",NA,"4",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,"69","cw",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1","78","262",NA,NA,"20",NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,"550",NA,"2",NA,NA,"33","1",NA,NA,"1","64",NA,NA,NA,"4",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,"1",NA,"5",NA,"307",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,"2",NA,NA,"3",NA,NA,NA,NA,"25",NA,NA,NA,"1",NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"43",NA,NA,NA,NA,"81",NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1954,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,"132","1",NA,NA,NA,NA,NA,NA,"1",NA,"103","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","55",NA,NA,"2",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1200",NA,NA,NA,NA,"17",NA,NA,NA,NA,"22",NA,NA,NA,"4",NA,"10",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1955,NA,NA,NA,NA,"3",NA,"4","1",NA,"13",NA,"71",NA,NA,"1","1",NA,NA,NA,"2","cw","116","18",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"8","150",NA,NA,NA,NA,"10",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"3","128",NA,"9",NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"349","71",NA,NA,NA,NA,NA,"cw",NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,"2",NA,NA,"7",NA,NA,NA,NA,NA,NA,"3","39","281",NA,NA,"5",NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"1186",NA,"1",NA,NA,"3",NA,NA,NA,NA,"56",NA,NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"110",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"4",NA,"535",NA,NA,NA,NA,"6",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,"1",NA,"22","1",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,"77",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
