"28",1972,NA,NA,NA,NA,"248","13","9","14",NA,"40",NA,"98","6",NA,NA,"1",NA,NA,NA,"3",NA,"209","24",NA,NA,NA,NA,"15","905",NA,NA,NA,NA,NA,"1",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"10976",NA,NA,"125","2",NA,NA,NA,"4","4",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,"4","134",NA,"32",NA,"5",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,"860","303",NA,NA,NA,NA,NA,NA,NA,"4","27",NA,NA,NA,NA,"2","3",NA,NA,NA,NA,NA,NA,"79",NA,NA,"5",NA,"5",NA,"2",NA,NA,"162","69","918",NA,"7","2","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"714",NA,NA,NA,NA,"35",NA,NA,NA,NA,"54","1",NA,NA,"6",NA,"1",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"1","cw",NA,"5",NA,NA,NA,NA,"6","1","182","21","1",NA,NA,"19",NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"31",NA,NA,NA,NA,NA,"1","51",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"44",NA,NA,"3",NA,"44",NA,NA,NA,NA,NA,NA,NA,"cw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1973,NA,NA,NA,"15","29","6","55","6",NA,"12",NA,"68","107",NA,NA,"1",NA,NA,NA,"13",NA,"192","49",NA,NA,NA,NA,"26",NA,"cw",NA,NA,NA,NA,NA,NA,NA,"13",NA,"1",NA,NA,NA,NA,NA,NA,"8100",NA,NA,"1",NA,NA,NA,NA,NA,"3",NA,NA,"1","34","4",NA,NA,NA,NA,NA,NA,NA,"2","112",NA,"11",NA,"1",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"1706","337",NA,NA,NA,NA,"8",NA,NA,"1",NA,NA,NA,NA,NA,"7","1",NA,NA,NA,NA,NA,NA,"138",NA,NA,"6",NA,NA,NA,"8",NA,NA,"334","122","1279",NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2621","1",NA,NA,NA,"24",NA,NA,NA,NA,"71",NA,"1",NA,"9",NA,"25",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"24",NA,NA,"2",NA,"15",NA,NA,NA,NA,NA,NA,NA,"8","1","536",NA,"3","9",NA,"22","456",NA,NA,NA,NA,"28","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"2",NA,"25",NA,NA,NA,NA,NA,"1","9",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"1","95",NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,"1",NA,NA,NA,"2",NA
"30",1974,NA,NA,NA,"10","623","15","24","16",NA,"88",NA,"268","164",NA,NA,"3",NA,NA,NA,"11",NA,"248","69",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"2",NA,NA,NA,NA,NA,NA,"16258",NA,"2","3","115",NA,NA,NA,"2","15",NA,NA,NA,"46","4",NA,NA,NA,"1",NA,NA,NA,"39","146",NA,"26",NA,"14",NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,"3021","61",NA,"1",NA,"1",NA,"5",NA,"9",NA,NA,NA,NA,NA,"4","5",NA,NA,"4",NA,NA,NA,"48",NA,NA,"20",NA,"5",NA,"11",NA,NA,"547","69","1094",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1455",NA,"1",NA,"1","92",NA,NA,NA,NA,"200",NA,"3",NA,"16","1","12",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"220",NA,NA,"4",NA,"50",NA,NA,"45",NA,NA,NA,NA,"10","2","676","7","14","1",NA,"3","475","1",NA,"1",NA,"14","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"3",NA,"24",NA,NA,NA,NA,NA,"3","72","1",NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,"82",NA,NA,"5",NA,"19",NA,"2",NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1975,NA,NA,NA,"11","250","35","10","19",NA,"23",NA,"244","94",NA,NA,"6",NA,NA,NA,"12",NA,"287","42",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"20025",NA,"17","1","cw",NA,NA,NA,NA,"20","1",NA,NA,"4","1","2",NA,NA,NA,NA,NA,NA,"21","195",NA,"5",NA,"2",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,"1428","34","1",NA,NA,NA,NA,"14",NA,"6",NA,NA,NA,NA,NA,"4","6",NA,NA,"5",NA,NA,NA,"85",NA,NA,"6",NA,"3","1","6",NA,NA,"605","69","1029",NA,"1","59",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,"656",NA,"1",NA,NA,"43",NA,"6",NA,NA,"88","1","1",NA,"10",NA,"5",NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,"3",NA,NA,"2","1","133",NA,NA,"4",NA,NA,NA,NA,"11",NA,"196",NA,"1",NA,"1","9","233",NA,NA,NA,NA,"12","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"5",NA,"46",NA,NA,NA,NA,NA,NA,"54",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"223",NA,NA,"12",NA,"45",NA,NA,NA,NA,NA,NA,NA,"101",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1976,"1",NA,NA,"19","1756","5","153","23","1","441","1","526","120",NA,NA,"3",NA,NA,NA,"20",NA,"502","114",NA,"12",NA,NA,"13","224","370",NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,"20",NA,NA,NA,NA,NA,"15400",NA,"10","14","39",NA,NA,NA,NA,"8","cw",NA,NA,"82","9",NA,NA,NA,"1",NA,NA,NA,"19","294",NA,"99",NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,"2777","197","2",NA,"1",NA,"9","2",NA,"6","50",NA,NA,NA,NA,"3","8",NA,NA,"1",NA,NA,NA,"66",NA,NA,"14",NA,"5",NA,"6",NA,NA,"233","204","931",NA,"7","41",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1631",NA,"1",NA,NA,"88","2",NA,NA,NA,"185","1",NA,NA,"16","1","5",NA,NA,NA,"4",NA,NA,NA,"cw","1",NA,"82",NA,NA,"7","4","164",NA,NA,"16",NA,NA,NA,NA,"16",NA,"4183",NA,"5","3","2","22","909","1",NA,NA,NA,"13","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,"cw",NA,"136",NA,NA,"7",NA,NA,"2","76",NA,NA,NA,NA,"52",NA,NA,NA,NA,NA,NA,NA,NA,"89",NA,NA,"17",NA,"120",NA,"2",NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1977,"1",NA,NA,"9","644","6","61","33",NA,"21","2","332","184",NA,NA,"2",NA,NA,NA,"20",NA,"241","56","1",NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,"29",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"17500",NA,"3","11","20",NA,NA,NA,"2","8",NA,NA,NA,"5","1",NA,NA,NA,"1",NA,NA,NA,"76","333",NA,"37",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,"2390","25","1",NA,NA,"2","1","7",NA,"5",NA,NA,NA,NA,NA,"17","15",NA,NA,"1",NA,NA,NA,"85",NA,NA,"11",NA,"2",NA,"5",NA,NA,"245","154","583",NA,"1","43",NA,NA,NA,"8","2","3",NA,NA,NA,NA,"4510",NA,"cw",NA,NA,"7","1",NA,NA,NA,"139",NA,NA,NA,"27",NA,"8","2",NA,NA,"5",NA,"1",NA,NA,NA,NA,"128",NA,NA,"6",NA,"40",NA,NA,"12",NA,NA,NA,NA,"6",NA,"346","23","1","6","4","20","459","5",NA,NA,NA,"16","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","cw","1",NA,NA,"3",NA,"59",NA,NA,NA,NA,NA,"2","110",NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,"161",NA,NA,"27",NA,"86",NA,NA,NA,NA,NA,NA,NA,"61",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1978,NA,NA,NA,"1","321",NA,"7","17","1","137","2","190","105",NA,NA,"2",NA,NA,NA,"24",NA,"274","25",NA,NA,NA,NA,"12","570",NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"1",NA,NA,NA,NA,NA,NA,"11900",NA,"3","cw","200",NA,NA,NA,NA,"7","cw",NA,NA,"8",NA,NA,NA,NA,"2",NA,NA,NA,"3","169",NA,"54",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,"1451","234",NA,NA,NA,"1","4",NA,NA,"7","500",NA,NA,NA,NA,"11","8",NA,NA,NA,NA,NA,NA,"60",NA,NA,"15",NA,"3",NA,NA,NA,NA,"117","139","388",NA,"2","5",NA,NA,NA,NA,"4",NA,NA,NA,"cw",NA,"347",NA,"2",NA,NA,"47",NA,NA,NA,NA,"107",NA,NA,NA,"15",NA,"3",NA,NA,NA,"12",NA,NA,NA,NA,NA,"7","12",NA,NA,"2",NA,"20",NA,NA,"6",NA,NA,NA,NA,"5","2","87","4",NA,"5",NA,"16","249",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"56",NA,NA,NA,"1",NA,NA,"38",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,"7",NA,"14",NA,"1",NA,NA,NA,NA,NA,"33",NA,"1",NA,NA,NA,NA,NA,NA,NA
"35",1979,NA,NA,NA,NA,"362","4","31","23",NA,"17",NA,"198","125",NA,NA,"2",NA,NA,NA,"27",NA,"193","71",NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"1",NA,NA,NA,NA,NA,NA,"9840",NA,"8","1","75",NA,NA,NA,NA,"24","5",NA,NA,"24","1",NA,NA,NA,NA,NA,NA,NA,"6","339",NA,"12",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,"2358","125",NA,"1",NA,"1","2",NA,NA,"3",NA,NA,NA,NA,NA,"5","4",NA,NA,NA,NA,NA,NA,"91",NA,NA,"3",NA,"1",NA,"10",NA,NA,"51","128","226",NA,NA,"14","1",NA,NA,NA,"3","2",NA,NA,NA,NA,"886",NA,"1",NA,NA,"20",NA,NA,NA,NA,"95",NA,NA,NA,"7","1","4",NA,NA,"9","10",NA,NA,NA,NA,NA,NA,"33",NA,NA,"1",NA,"18",NA,NA,"2",NA,NA,NA,NA,"10",NA,"2476",NA,NA,"5",NA,"15","214","1",NA,NA,NA,"10",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"104",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,"11",NA,"1",NA,NA,NA,NA,NA,NA,"19",NA,NA,"3",NA,"18",NA,NA,NA,NA,NA,NA,NA,"18",NA,"1",NA,NA,"6",NA,NA,NA,NA
"36",1980,NA,NA,NA,"10","731","9","159","31",NA,"786",NA,"551","100",NA,NA,NA,NA,NA,NA,"29",NA,"420","115",NA,NA,"190",NA,"53",NA,NA,NA,NA,NA,NA,"19",NA,NA,"10",NA,"1",NA,NA,NA,NA,NA,NA,"8260",NA,"14","6","12",NA,NA,NA,NA,"29","2",NA,NA,"41","1",NA,NA,NA,NA,NA,NA,NA,"9","308",NA,"33",NA,"8",NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,"4489","19",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"13","8",NA,NA,NA,NA,NA,NA,"34",NA,NA,"10",NA,NA,"1","5",NA,NA,"186","356","475",NA,NA,"39",NA,NA,NA,NA,"2","1",NA,NA,NA,NA,"1162",NA,"2",NA,NA,"55","5",NA,NA,NA,"185","2",NA,NA,"9","cw","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"507",NA,NA,"8","1","21","1","12","10",NA,NA,NA,NA,"11","2","442",NA,"4","38","2","41","458",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4",NA,"1",NA,NA,NA,"63",NA,NA,NA,NA,NA,NA,"69",NA,NA,NA,NA,"33",NA,NA,NA,"cw",NA,NA,NA,NA,"28",NA,NA,"33",NA,"93",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1981,NA,NA,NA,NA,"357","15","81","34",NA,"39",NA,"222","106",NA,NA,"2",NA,NA,NA,"41",NA,"333","126",NA,NA,NA,NA,"36","105",NA,NA,NA,NA,NA,"1","cw",NA,"13",NA,"2",NA,NA,NA,NA,NA,NA,"12842",NA,"8","16","22",NA,NA,NA,NA,"14",NA,NA,NA,"14","8",NA,NA,NA,NA,NA,NA,NA,"10","320",NA,"108",NA,NA,NA,NA,"26",NA,"1",NA,NA,NA,NA,NA,"4426","100",NA,NA,NA,NA,"8","1",NA,"6","1",NA,NA,NA,NA,"9","2",NA,NA,NA,NA,"2",NA,"67",NA,NA,"1",NA,NA,NA,"3",NA,NA,"163","167","487",NA,NA,"22",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"521",NA,"2",NA,NA,"29","6",NA,NA,NA,"141",NA,"2",NA,"11",NA,NA,NA,NA,"75","1",NA,NA,NA,NA,NA,NA,"152",NA,NA,"3",NA,"5",NA,NA,"44",NA,NA,NA,NA,"5",NA,"1545","67","12","7","1","51","228",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cw","2",NA,NA,NA,NA,NA,"58",NA,NA,NA,NA,NA,"1","9",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,"3",NA,"49",NA,NA,NA,NA,NA,NA,NA,"11",NA,"1",NA,NA,NA,NA,NA,NA,NA
"38",1982,NA,NA,NA,NA,"125","9","63","51",NA,"61",NA,"472","113",NA,NA,"3",NA,NA,NA,"31",NA,"307","98",NA,NA,NA,NA,"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,"2",NA,NA,NA,NA,"15740",NA,"10","7",NA,NA,NA,NA,NA,"17",NA,NA,NA,"7","10",NA,NA,NA,"2",NA,NA,NA,"38","191",NA,"99",NA,"4",NA,NA,"33",NA,NA,NA,"1","2",NA,NA,"5650","56",NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,"10","11",NA,NA,"1",NA,NA,NA,NA,"30",NA,"2",NA,"4",NA,"2",NA,NA,"98","178","533","1","3","5",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"591","3",NA,NA,NA,"51","13","3",NA,NA,"165",NA,"1",NA,"18",NA,NA,NA,NA,"26","1",NA,NA,NA,NA,"1",NA,"260",NA,NA,"4",NA,"33",NA,NA,"4",NA,NA,NA,NA,"13","2","96",NA,"2","4","7","25","348","1",NA,NA,NA,"13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"cw",NA,"95",NA,NA,"143",NA,NA,"5","30",NA,NA,NA,NA,"12",NA,NA,NA,NA,"1",NA,NA,NA,"17",NA,NA,"25",NA,"109",NA,NA,NA,NA,NA,NA,NA,"12",NA,"1",NA,"1",NA,NA,NA,"1",NA
"39",1983,NA,NA,NA,NA,"85","12","186","24",NA,"435",NA,"566","10",NA,NA,"7",NA,NA,NA,"8",NA,"203","56",NA,NA,NA,NA,"36","1576","117",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"9789",NA,"1","1","201",NA,NA,NA,NA,"17","2",NA,NA,"33","5","1",NA,NA,"2",NA,"135",NA,"6","80",NA,"45",NA,"4",NA,NA,"19",NA,NA,NA,NA,"cw",NA,NA,"1523","26",NA,NA,NA,NA,NA,NA,"1","1","2",NA,NA,NA,NA,"4","9",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,"3",NA,"3",NA,NA,"723","361","655",NA,NA,"6",NA,NA,NA,NA,"cw","1",NA,NA,"2",NA,"448",NA,"2",NA,NA,"7",NA,NA,NA,NA,"83",NA,NA,NA,"39",NA,"3",NA,NA,"27","1",NA,NA,NA,NA,NA,"cw","242",NA,NA,"1","cw",NA,NA,NA,NA,NA,NA,NA,NA,"7","2","723",NA,"2","1","3","62","85",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"3","2",NA,"90",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"42",NA,NA,"2",NA,"111",NA,"2",NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"cw"
"40",1984,"1",NA,NA,"1","184","19","90","45",NA,"812",NA,"380","43",NA,NA,"2",NA,NA,NA,"14",NA,"298","155","1",NA,NA,NA,"57","3336",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"5920",NA,NA,"10","135",NA,NA,NA,"5","17","cw",NA,NA,"13","16","63",NA,NA,NA,NA,"256",NA,"2","100",NA,"72",NA,NA,NA,NA,"21",NA,NA,NA,NA,"cw",NA,NA,"2301","270",NA,NA,NA,NA,"61",NA,NA,"4","26",NA,NA,NA,NA,"8","7",NA,NA,"3",NA,NA,NA,"85",NA,NA,"7",NA,"3",NA,"4",NA,NA,NA,"234","1168",NA,NA,"3",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"1010",NA,NA,NA,"1","135",NA,NA,NA,NA,"111","2",NA,NA,"7",NA,"4",NA,NA,"40","4",NA,NA,NA,NA,NA,"14","1128",NA,NA,"1",NA,"135",NA,NA,"83",NA,NA,NA,NA,"14","4","1294","145",NA,NA,NA,"27","963",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"5",NA,"40",NA,NA,NA,NA,NA,"1","38",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,"22",NA,"19",NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA
"41",1985,"1",NA,NA,NA,"104","9","61","27",NA,"23",NA,"115","49",NA,NA,"12",NA,NA,NA,"11",NA,"338","136","1",NA,NA,NA,"42","110",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"2",NA,NA,NA,NA,"2973",NA,NA,"6","8",NA,NA,NA,NA,"22","1",NA,NA,"12","7",NA,NA,NA,NA,NA,"151",NA,"9","54",NA,"22",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,"3362","203",NA,"2",NA,NA,"2",NA,NA,"7","125",NA,NA,NA,NA,"1","7",NA,NA,"1",NA,NA,NA,"80",NA,NA,"14",NA,"1",NA,"3",NA,NA,"5","689","987",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1223",NA,"2",NA,NA,"67","9",NA,NA,NA,"119",NA,"2",NA,"1","1","5",NA,NA,"25","2",NA,NA,NA,NA,NA,NA,"378",NA,NA,"2",NA,"15",NA,NA,"4",NA,NA,NA,NA,"8",NA,"552",NA,NA,NA,NA,"22","563",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,"11",NA,"11",NA,NA,NA,NA,NA,"20",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1986,NA,NA,NA,"8","159","12","101","37",NA,"162",NA,"166","127",NA,NA,"6",NA,NA,NA,"21",NA,"514","122",NA,NA,NA,NA,"61","27",NA,NA,NA,NA,NA,"1",NA,NA,"13",NA,NA,NA,"3",NA,NA,NA,NA,"12295",NA,NA,"2",NA,NA,NA,NA,"20","29","1",NA,NA,"7","3",NA,NA,NA,NA,NA,"122",NA,"23","91",NA,"20",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,"2973","230",NA,"2",NA,NA,"16","2",NA,"1",NA,NA,NA,NA,NA,"5","10",NA,NA,NA,NA,NA,NA,NA,"14",NA,"5",NA,"4",NA,"9",NA,NA,NA,"369","638",NA,"1","9",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,"1266",NA,NA,NA,NA,"36",NA,NA,NA,NA,"102",NA,"2",NA,"2",NA,"3","1",NA,"30","3",NA,NA,NA,NA,NA,NA,"810",NA,NA,"5",NA,"10",NA,NA,"58",NA,NA,NA,NA,"10",NA,"269","2","3",NA,"1","8","1056",NA,NA,NA,NA,"18","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,"49",NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,"49",NA,NA,"6",NA,"13",NA,NA,NA,NA,NA,NA,NA,"10",NA,"3",NA,NA,"1",NA,NA,NA,NA
